date,hotel_code,room_code,available
2024-08-31,GLMG,DK1YV,0
2024-08-31,GLMG,DQ1,0
2024-08-31,GLMG,DQ1V,0
2024-08-31,GLMG,DQ1Y,0
2024-08-31,GLMG,DQ1YA,0
2024-08-31,GLMG,DQ1YV,0
2024-08-31,GLMG,DQ1YVA,0
2024-08-31,GLMG,SD1,0
2024-08-31,GLMG,SD1A,0
2024-08-31,GLMG,SD1U,0
2024-08-31,GLMG,SD1UA,0
2024-08-31,GLMG,SD1V,0
2024-08-31,GLMG,SD1Y,0
2024-08-31,GLMG,SD1YV,0
2024-08-31,GLMG,SD2,0
2024-08-31,GLMG,SD2U,0
2024-08-31,GLMG,SD2V,0
2024-08-31,GLMG,SDT,0
2024-08-31,GLMG,SDTU,0
2024-08-31,GLMG,SDTV,0
2024-08-31,GLMG,SDTVA,0
2024-08-31,GLMG,SDTY,0
2024-08-31,GLMG,SK1A,0
2024-08-31,GLMG,ST2,0
2024-08-31,GLMG,ST2U,0
2024-08-31,GLMG,ST2V,0
2024-08-31,GLMG,ST2Y,0
2024-08-31,GLMG,ST2YV,0
2024-08-31,GLMG,XD2T,0
2024-08-31,GLMG,XD2TA,0
2024-08-31,GLMG,XKQYV,0
2024-09-01,GLMG,DK1,0
2024-09-01,GLMG,DK1V,0
2024-09-01,GLMG,DK1Y,1
2024-09-01,GLMG,DK1YV,0
2024-09-01,GLMG,DQ1,0
2024-09-01,GLMG,DQ1V,0
2024-09-01,GLMG,DQ1Y,0
2024-09-01,GLMG,DQ1YA,0
2024-09-01,GLMG,DQ1YV,0
2024-09-01,GLMG,DQ1YVA,0
2024-09-01,GLMG,SD1,0
2024-09-01,GLMG,SD1A,0
2024-09-01,GLMG,SD1U,0
2024-09-01,GLMG,SD1UA,0
2024-09-01,GLMG,SD1V,0
2024-09-01,GLMG,SD1Y,0
2024-09-01,GLMG,SD1YV,0
2024-09-01,GLMG,SD2,0
2024-09-01,GLMG,SD2U,0
2024-09-01,GLMG,SD2V,0
2024-09-01,GLMG,SDT,0
2024-09-01,GLMG,SDTU,0
2024-09-01,GLMG,SDTV,0
2024-09-01,GLMG,SDTVA,0
2024-09-01,GLMG,SDTY,0
2024-09-01,GLMG,SK1A,0
2024-09-01,GLMG,ST2,0
2024-09-01,GLMG,ST2U,0
2024-09-01,GLMG,ST2V,0
2024-09-01,GLMG,ST2Y,0
2024-09-01,GLMG,ST2YV,0
2024-09-01,GLMG,XD2T,0
2024-09-01,GLMG,XD2TA,0
2024-09-01,GLMG,XKQYV,0
2024-09-02,GLMG,DK1,0
2024-09-02,GLMG,DK1V,0
2024-09-02,GLMG,DK1Y,0
